epoch	lr	loss_train	loss_test	err_test	
139	0.00001	0.05521	0.02588	0.03029	
140	0.00001	0.05519	0.02631	0.03060	
141	0.00001	0.05519	0.02546	0.02982	
142	0.00001	0.05521	0.02714	0.03125	
143	0.00001	0.05518	0.02604	0.03059	
144	0.00001	0.05516	0.02704	0.03103	
145	0.00001	0.05518	0.02602	0.03052	
146	0.00001	0.05518	0.02776	0.03180	
147	0.00001	0.05519	0.02681	0.03108	
148	0.00001	0.05517	0.02660	0.03075	
149	0.00001	0.05516	0.02742	0.03128	
150	0.00001	0.05512	0.02627	0.03069	
151	0.00001	0.05518	0.02627	0.03069	
152	0.00001	0.05514	0.02618	0.03040	
153	0.00001	0.05515	0.02608	0.03044	
154	0.00001	0.05517	0.02667	0.03080	
155	0.00001	0.05515	0.02586	0.03040	
156	0.00001	0.05517	0.02542	0.03001	
157	0.00001	0.05516	0.02596	0.03037	
158	0.00001	0.05515	0.02611	0.03037	
159	0.00001	0.05513	0.02762	0.03151	
160	0.00000	0.05513	0.02823	0.03160	
161	0.00000	0.05516	0.02591	0.03044	
162	0.00000	0.05513	0.02625	0.03045	
163	0.00000	0.05514	0.02541	0.03001	
164	0.00000	0.05515	0.02722	0.03108	
165	0.00000	0.05514	0.02636	0.03071	
166	0.00000	0.05515	0.02530	0.02992	
167	0.00000	0.05512	0.02617	0.03049	
168	0.00000	0.05513	0.02695	0.03118	
169	0.00000	0.05512	0.02571	0.03022	
170	0.00000	0.05516	0.02677	0.03096	
171	0.00000	0.05513	0.02874	0.03207	
172	0.00000	0.05513	0.02626	0.03064	
173	0.00000	0.05510	0.02556	0.03022	
174	0.00000	0.05514	0.02695	0.03087	
175	0.00000	0.05512	0.02697	0.03120	
176	0.00000	0.05512	0.02664	0.03080	
177	0.00000	0.05510	0.02699	0.03109	
178	0.00000	0.05513	0.02718	0.03119	
179	0.00000	0.05512	0.02682	0.03114	
180	0.00000	0.05513	0.02579	0.03023	
181	0.00000	0.05510	0.02862	0.03217	
182	0.00000	0.05511	0.02706	0.03139	
183	0.00000	0.05509	0.02581	0.03024	
184	0.00000	0.05511	0.02701	0.03105	
185	0.00000	0.05512	0.02735	0.03139	
186	0.00000	0.05511	0.02719	0.03118	
187	0.00000	0.05510	0.02622	0.03042	
188	0.00000	0.05512	0.02559	0.03010	
189	0.00000	0.05512	0.02549	0.03011	
190	0.00000	0.05512	0.02625	0.03064	
