epoch	lr	loss_train	loss_test	err_test	
1	0.00100	0.10909	0.04104	0.03423	
2	0.00096	0.08309	0.03495	0.03163	
3	0.00092	0.07731	0.03282	0.03048	
4	0.00088	0.07410	0.03358	0.03131	
5	0.00085	0.07194	0.03266	0.03065	
6	0.00085	0.07018	0.03067	0.02979	
7	0.00082	0.06877	0.03112	0.03002	
8	0.00078	0.06768	0.03146	0.03037	
9	0.00075	0.06676	0.03049	0.02982	
10	0.00072	0.06595	0.03051	0.02970	
11	0.00072	0.06525	0.02985	0.02915	
12	0.00069	0.06463	0.02974	0.02974	
13	0.00066	0.06401	0.02948	0.02916	
14	0.00064	0.06352	0.02810	0.02853	
15	0.00061	0.06309	0.03007	0.02953	
16	0.00059	0.06263	0.02819	0.02858	
17	0.00059	0.06222	0.02784	0.02849	
18	0.00056	0.06186	0.02787	0.02816	
19	0.00054	0.06146	0.02695	0.02779	
20	0.00052	0.06119	0.02764	0.02836	
21	0.00050	0.06087	0.02720	0.02797	
22	0.00050	0.06057	0.02718	0.02784	
23	0.00048	0.06029	0.02758	0.02848	
24	0.00046	0.06007	0.02813	0.02874	
25	0.00044	0.05979	0.02703	0.02807	
26	0.00042	0.05959	0.02829	0.02883	
27	0.00041	0.05934	0.02790	0.02856	
28	0.00041	0.05914	0.02651	0.02778	
29	0.00039	0.05894	0.02762	0.02845	
30	0.00038	0.05877	0.02756	0.02838	
31	0.00036	0.05859	0.02714	0.02806	
32	0.00035	0.05843	0.02769	0.02876	
33	0.00035	0.05827	0.02765	0.02861	
34	0.00033	0.05808	0.02753	0.02839	
35	0.00032	0.05794	0.02748	0.02840	
36	0.00031	0.05777	0.02629	0.02749	
37	0.00029	0.05765	0.02706	0.02809	
38	0.00028	0.05751	0.02815	0.02873	
39	0.00028	0.05736	0.02629	0.02760	
40	0.00027	0.05727	0.02695	0.02816	
41	0.00026	0.05718	0.02679	0.02805	
42	0.00025	0.05703	0.02625	0.02772	
43	0.00024	0.05693	0.02652	0.02780	
44	0.00024	0.05683	0.02644	0.02776	
45	0.00023	0.05669	0.02756	0.02838	
46	0.00022	0.05665	0.02649	0.02773	
47	0.00021	0.05653	0.02586	0.02768	
48	0.00020	0.05643	0.02782	0.02866	
49	0.00020	0.05635	0.02574	0.02727	
50	0.00020	0.05628	0.02580	0.02725	
51	0.00019	0.05617	0.02647	0.02790	
52	0.00018	0.05608	0.02627	0.02757	
53	0.00017	0.05601	0.02726	0.02834	
54	0.00017	0.05597	0.02600	0.02746	
55	0.00017	0.05589	0.02562	0.02738	
56	0.00016	0.05582	0.02780	0.02884	
57	0.00015	0.05575	0.02603	0.02746	
58	0.00015	0.05572	0.02583	0.02749	
59	0.00014	0.05558	0.02605	0.02765	
60	0.00014	0.05558	0.02540	0.02712	
61	0.00014	0.05550	0.02622	0.02766	
62	0.00013	0.05546	0.02630	0.02765	
63	0.00012	0.05540	0.02596	0.02774	
64	0.00012	0.05534	0.02483	0.02669	
65	0.00011	0.05533	0.02598	0.02722	
66	0.00011	0.05526	0.02592	0.02755	
67	0.00011	0.05520	0.02608	0.02789	
68	0.00011	0.05515	0.02591	0.02739	
69	0.00010	0.05511	0.02644	0.02813	
70	0.00010	0.05506	0.02501	0.02690	
