epoch	lr	loss_train	loss_test	err_test	
139	0.00001	0.06013	0.03637	0.03533	
140	0.00001	0.06015	0.03277	0.03317	
141	0.00001	0.06007	0.03737	0.03626	
142	0.00001	0.06009	0.03491	0.03404	
143	0.00001	0.06009	0.03417	0.03386	
144	0.00001	0.06010	0.03467	0.03429	
145	0.00001	0.06008	0.03222	0.03271	
146	0.00001	0.06011	0.03399	0.03344	
147	0.00001	0.06007	0.03382	0.03357	
148	0.00001	0.06006	0.03390	0.03377	
149	0.00001	0.06013	0.03304	0.03342	
150	0.00001	0.06010	0.03451	0.03428	
151	0.00001	0.06006	0.03373	0.03375	
152	0.00001	0.06008	0.03238	0.03281	
153	0.00001	0.06005	0.03339	0.03343	
154	0.00001	0.06008	0.03518	0.03472	
155	0.00001	0.06005	0.03423	0.03422	
156	0.00000	0.06011	0.03323	0.03349	
157	0.00000	0.06008	0.03257	0.03300	
158	0.00000	0.06004	0.03426	0.03400	
159	0.00000	0.06009	0.03368	0.03402	
160	0.00000	0.06009	0.03341	0.03328	
161	0.00000	0.06003	0.03662	0.03507	
162	0.00000	0.06004	0.03599	0.03547	
163	0.00000	0.06006	0.03350	0.03319	
164	0.00000	0.06003	0.03247	0.03277	
165	0.00000	0.06003	0.03838	0.03637	
166	0.00000	0.05998	0.03369	0.03352	
167	0.00000	0.06002	0.03132	0.03182	
168	0.00000	0.06009	0.03476	0.03419	
169	0.00000	0.06002	0.03232	0.03257	
170	0.00000	0.06003	0.03280	0.03331	
171	0.00000	0.06002	0.03304	0.03317	
172	0.00000	0.06008	0.03692	0.03516	
173	0.00000	0.06004	0.03433	0.03415	
174	0.00000	0.06005	0.03346	0.03318	
175	0.00000	0.06008	0.03293	0.03309	
176	0.00000	0.06003	0.03536	0.03500	
177	0.00000	0.06004	0.03207	0.03307	
178	0.00000	0.06002	0.03409	0.03397	
179	0.00000	0.05998	0.03353	0.03352	
180	0.00000	0.06006	0.03332	0.03381	
181	0.00000	0.06004	0.03594	0.03526	
182	0.00000	0.06004	0.03526	0.03453	
183	0.00000	0.06003	0.11098	0.06612	
184	0.00000	0.06002	0.03412	0.03370	
185	0.00000	0.06001	0.03422	0.03438	
186	0.00000	0.06003	0.03432	0.03427	
187	0.00000	0.06002	0.03250	0.03293	
188	0.00000	0.06003	0.03364	0.03391	
189	0.00000	0.06001	0.03257	0.03269	
190	0.00000	0.06003	0.03447	0.03418	
191	0.00000	0.05999	0.03214	0.03272	
192	0.00000	0.06006	0.03325	0.03333	
193	0.00000	0.05998	0.03401	0.03332	
194	0.00000	0.06002	0.03266	0.03278	
195	0.00000	0.05999	0.03680	0.03537	
196	0.00000	0.06002	0.03351	0.03361	
197	0.00000	0.05998	0.03206	0.03250	
198	0.00000	0.06000	0.03269	0.03297	
199	0.00000	0.06000	0.52168	0.15771	
200	0.00000	0.06002	0.03528	0.03445	
